country,first_dose,full_vaccination
Austria,79.6,65.9
Belgium,88.2,51.7
Bulgaria,10.6,3.8
Croatia,49.2,22.8
Cyprus,0,0
Czechia,75.0,55.9
Denmark,99.6,95.4
Estonia,58.7,40.9
Finland,91.3,27
France,72.7,56.5
Germany,0,0
Greece,63.5,56.2
Hungary,70.7,59.9
Iceland,99.1,97.8
Ireland,100.0,94.4
Italy,87.9,75.2
Latvia,26.2,7.8
Liechtenstein,0,0
Lithuania,48.9,31.3
Luxembourg,78.4,71.5
Malta,99.1,89.2
Netherlands,0,0
Norway,81.1,86.2
Poland,57.9,50.1
Portugal,94.4,87.1
Romania,0,0
Slovakia,0,0
Slovenia,61.6,55.4
Spain,100.0,96.6
Sweden,93.2,76.2
