country,first_dose,full_vaccination
Austria,80.6,67
Belgium,89.0,58
Bulgaria,10.1,2.4
Croatia,49.7,27.4
Cyprus,83.0,74
Czechia,76.3,57.9
Denmark,99.9,97.4
Estonia,59.7,44.1
Finland,91.8,41.2
France,74.1,58.9
Germany,0,0
Greece,64.1,59.3
Hungary,71.6,61.1
Iceland,99.2,97.9
Ireland,100.0,94.6
Italy,89.2,79.3
Latvia,27.7,11.4
Liechtenstein,0,0
Lithuania,49.8,34.2
Luxembourg,78.9,71.9
Malta,99.3,90.5
Netherlands,0,0
Norway,81.4,87.2
Poland,58.5,52.4
Portugal,95.0,88.6
Romania,0,0
Slovakia,0,0
Slovenia,62.6,56.2
Spain,100.0,98.3
Sweden,93.5,81.2
